state,code,capital_city,population
Alabama,AL,Montgomery,4921532
Alaska,AK,Juneau,731158
Arizona,AZ,Phoenix,7421401
Arkansas,AR,Little Rock,3030522
California,CA,Sacramento,39368078
Colorado,CO,Denver,5807719
Connecticut,CT,Hartford,3557006
Delaware,DE,Dover,986809
Florida,FL,Tallahassee,21733312
Georgia,GA,Atlanta,10710017
Hawaii,HI,Honolulu,1407006
Idaho,ID,Boise,1826913
Illinois,IL,Springfield,12587530
Indiana,IN,Indianapolis,6754953
Iowa,IA,Des Moines,3163561
Kansas,KS,Topeka,2913805
Kentucky,KY,Frankfort,4477251
Louisiana,LA,Baton Rouge,4645318
Maine,ME,Augusta,1350141
Maryland,MD,Annapolis,6055802
Massachusetts,MA,Boston,6893574
Michigan,MI,Lansing,9966555
Minnesota,MN,Saint Paul,5657342
Mississippi,MS,Jackson,2966786
Missouri,MO,Jefferson City,6151548
Montana,MT,Helena,1080577
Nebraska,NE,Lincoln,1937552
Nevada,NV,Carson City,3138259
New Hampshire,NH,Concord,1366275
New Jersey,NJ,Trenton,8882371
New Mexico,NM,Santa Fe,2106319
New York,NY,Albany,19336776
North Carolina,NC,Raleigh,10600823
North Dakota,ND,Bismarck,765309
Ohio,OH,Columbus,11693217
Oklahoma,OK,Oklahoma City,3980783
Oregon,OR,Salem,4241507
Pennsylvania,PA,Harrisburg,12783254
Rhode Island,RI,Providence,1057125
South Carolina,SC,Columbia,5218040
South Dakota,SD,Pierre,892717
Tennessee,TN,Nashville,6886834
Texas,TX,Austin,29360759
Utah,UT,Salt Lake City,3249879
Vermont,VT,Montpelier,623347
Virginia,VA,Richmond,8590563
Washington,WA,Olympia,7693612
West Virginia,WV,Charleston,1784787
Wisconsin,WI,Madison,5832655
Wyoming,WY,Cheyenne,582328
District of Columbia,DC,Washington D.C.,712816
Puerto Rico,PR,San Juan,2860853
Guam,GU,Hagåtña,168775
Mariana Islands,MP,Saipan,57559
U.S. Virgin Islands,VI,Charlotte Amalie,104425
American Samoa,AS,Pago Pago,55191